Fecha	T.ida	T.vuelta
20240112	20604	20625
20240112	20625	20632
20240112	20632	20833
20240112	20833	20836
20240112	20836	20849
20240112	20849	20852
20240112	20852	20865
20240112	20865	20868
20240112	20868	20881
20240112	20881	20884
20240112	20884	20897
20240112	20897	20900
20240112	20900	20517
20240112	20517	
20240112	20202	20261
20240112	20261	20228
20240112	20228	20235
20240112	20235	20252
20240112	20252	20917
20240112	20917	20840
20240112	20840	20853
20240112	20853	20856
20240112	20856	20869
20240112	20869	20872
20240112	20872	20885
20240112	20885	20888
20240112	20888	20901
20240112	20901	20904
20240112	20904	
20240112	20202	20261
20240112	20261	20228
20240112	20228	20235
20240112	20235	20252
20240112	20252	20917
20240112	20917	20840
20240112	20840	20853
20240112	20853	20856
20240112	20856	20869
20240112	20869	20872
20240112	20872	20885
20240112	20885	20888
20240112	20888	20901
20240112	20901	20904
20240112	20904	
20240112	20603	20606
20240112	20606	20627
20240112	20627	20634
20240112	20634	39047
20240112	39047	47043
20240112	47043	
20240112	20603	20606
20240112	20606	20627
20240112	20627	20634
20240112	20634	39047
20240112	39047	47043
20240112	47043	
20240112	20206	20215
20240112	20215	20232
20240112	20232	20239
20240112	20239	20254
20240112	20254	20919
20240112	20919	20842
20240112	20842	20855
20240112	20855	20858
20240112	20858	20871
20240112	20871	20706
20240112	20706	20887
20240112	20887	20890
20240112	20890	20903
20240112	20903	20906
20240112	20906	39197
20240112	39197	
20240112	20206	20215
20240112	20215	20232
20240112	20232	20239
20240112	20239	20254
20240112	20254	20919
20240112	20919	20842
20240112	20842	20855
20240112	20855	20858
20240112	20858	20871
20240112	20871	20706
20240112	20706	20887
20240112	20887	20890
20240112	20890	20903
20240112	20903	20906
20240112	20906	39197
20240112	39197	
20240112	20208	20617
20240112	20617	20624
20240112	20624	20645
20240112	20645	
20240112	20208	20617
20240112	20617	20624
20240112	20624	20645
20240112	20645	
20240112	20224	20231
20240112	20231	20248
20240112	20248	20170
20240112	20170	20051
20240112	20051	20050
20240112	20050	20061
20240112	20061	20062
20240112	20062	20071
20240112	20071	20078
20240112	20078	20169
20240112	20169	
20240112	20224	20231
20240112	20231	20248
20240112	20248	20170
20240112	20170	20051
20240112	20051	20050
20240112	20050	20061
20240112	20061	20062
20240112	20062	20071
20240112	20071	20078
20240112	20078	20169
20240112	20169	
20240112	39045	20209
20240112	20209	20226
20240112	20226	20233
20240112	20233	20250
20240112	20250	20433
20240112	20433	20442
20240112	20442	20447
20240112	20447	20456
20240112	20456	20461
20240112	20461	20470
20240112	20470	20475
20240112	20475	20484
20240112	20484	20489
20240112	20489	20498
20240112	20498	20503
20240112	20503	20512
20240112	20512	
20240112	39045	20209
20240112	20209	20226
20240112	20226	20233
20240112	20233	20250
20240112	20250	20433
20240112	20433	20442
20240112	20442	20447
20240112	20447	20456
20240112	20456	20461
